SIMPLIFIED LUGBARA
28 Letters,Pronunciation
andria/ andrapuru/ ayia ogu,step-mother
anzi,children
ata(pi)/ ati/ baba/ dadi/ papa,father
atapuruka agupianzi,cousin brothers
atapuruka ezopi,cousin sister
atapurumva,cousin
awupi[ka]/ a'wi/ a'wizi/ owupi,maternal aunt[s]
awuzi,widow
awuzio,widower
ayipi/ onyere,sister-in-law
'ba lepi mi jepiri,fiance
'ba matiba/ tipika,parents
'ba mini le jeri,fiancee
dapi/ dede/ di/ e'di,grandmother
edra/ idra(pi)/ idri,mother-in-law
ezo,girlfriend
izio/ mugole,groom
jirani/ jo ejele,neighbour
mva,child
mvi,son
mvia,grandson/ brother's son
o'da/ o'di,maternal uncle's wife
ojio,go-between
oku,wife/ woman
oku biza,wedding
onyizi,brother-in-law to wife
ori'ba azini agi,kin and kith/ family and friends
oti/ otuo,brother-in-law
otupi,in-laws
tipika anzi azi,siblings
yamari,meat-eating marriage feast organised by bride's family (like kwanjula)
zamva,girl
zi,daughter
zia,granddaughter/ brother's daughter

AKU,HOME
a'bua,banana(s)
a'buka,baby suncover
adungu,bow harp
ageyitema,security
aitipa,salt solution sieved from sundried plant parts especially leaves
aju,spear
alitara,altar
asindriza,peace
au,chicken
ayiko,happiness/ joy/ bliss/ enjoyment/ pleasure
bafu,bathroom
banda,cassava
beseni,basin
Biblia,Bible eg Joni ni Biblia la o'du driasi! = John reads the Bible everyday!
blawuzi,blouse
bongo,cloth
coroni,latrine/ toilet
dinisa,window
donati,doughnut
enya/ nyaka,food
enyasa,staple bread (usually from cassava) slapped with mingling stick while cooking and hand while eating
ero,granary
fun(y)o,groundnut(s)
imvu (pronounced invu),pot
imvua,small pot
iribi,greens/ vegetables
jo,house
joale,floor
jodri,roof
jotile,door
juyisi,juice
kaka,maize
kasunda,big saucepan
kijiko/ malaga/ spuni,spoon
kitanda,bed
kiti,seat
kitipara,stool made in Paraa
kobi,open-end basket
kome,chair
kopo,cup
kulukulu,turkey
lesu,milk
leta,love
maaku,potato(es)
mara,mirror/ (sun)glasses
mayuni,yam(s)
mbata,duck
mesa,table
mukeka,mat
ofuta,ash
ogea,big harvest basket
ogunga,throne
olufe,mingling stick
omvumvua,drink
oni funo sizu,groundnut-grinding stone
pari enya a'dizu,cook place/ kitchen
pleti,plate
redio,radio
rumu,room
saniya,tray
sigiri,charcoal-burning cookstove
sindani,needle
skati,skirt
slipa,slippers
sopiriya/ sufariya,saucepan
stowa,store
supu,soup
tanure,traditional female attire made from leaves though modern designs use cloth materials
tivi,TV
torozi,trousers
viato/ shuzi,footwear/ shoes
yi,water
'ye,arrow(s)
za,meat
zukulu,calabash

LUGBARA KARI,HOUSE OF LUGBARA
Agofe,Paramount Chief elected rotationally every five years
Langa,Parliament of Lugbara Kari
Clans,Ayivu/ Maracha/ Terego/ Vur(r)a

Invited to the Chiefdom: Aringa (Yumbe) and Madi plus nine Lugbara clans in DR Congo's Orientale Province including Adranga and Zaki...

O'DU WIKI NI,DAYS OF THE WEEK
A day is called o'du in Lugbara; 1 week is wiki alu/ yumala alu/ yumula alu/ sabatu alu/ sabiti alu or yinga [Lingala for: week] alu
1. Sabatoni/ Sabato/ Sabatu/ O'du Engata YESU niri; O'du Sabatuniri ma vutia,Sunday
2. O'du alu, Wiki ma o'du alu,Monday
3. O'du iri,Tuesday
4. O'du na/ Wikiagaa,Wednesday/ Midweek 
5. O'du su,Thursday
6. O'du towi/ O'du Otuzuri,Friday/ Preparation Day
7. O'du azia/ Yahudi ma O'du Sabatuni/ Sabato/ Sabatu,Saturday/ Jewish Sabbath/ Adventist Seventh Day

KALENDA,CALENDAR
The simplest way to refer to months or moons [mba in Lugbara] is to use numbers eg January is Mba alu while May is Mba towi and so on.
1. Januari/ Oco 'Dupa Sere,January
2. Feburili/ Kuluni,February
3. Marici/ Zengulu/ Ndukulu,March
4. Aprili/ Ayi - Wet season,April
5. Mayi/ Ayi Eti,May
6. Juni/ Emveki,June
7. Julayi/ Iri,July
8. Agoslo/ Iripaku,August
9. Sebitemba/ Lokopere,September
10. Okitoba/ Abibi,October
11. Novemba/ Waa,November
12. Desemba/ Anyu Fi (E)kuma/ Anyu Ti,December

E'YOBUKU,PHRASEBOOK
Ngoni?,How are you?
Muke (Ma muke)!,OK (I'm fine)!
Aku ngoni?,How is home?
Aku onyiru!,Home is good!
Mi ru adi-i?,What is your name?
Ma ru Ludi!,My name is Ludi!
Ma biasara azi nga.,I'm a businesswoman.
Ma eli 40 (Kali su)!,I'm 40 years old!
Ma Jaku-i.,I'm Jaku.
Ma daktari ni ma kliniki-a.,I'm a doctor at my clinic.
Ma aa Oluko-a.,I stay in Oluko.
Andru o'du si?,What day is today?
Wiki o'du alu, mba o'du 19 (Mudri drini oromi) Mayi, eli 2025.,Monday 19th May 2025.
Ma Silamu ni!,I'm a Muslim!
Te mi-i?,How about you?/ But you?
Ma Kristiani ni!,I'm a Christian!
YESU ni Opi!,JESUS is Lord!
Ma efu Bunyoro-a.,I originate from Bunyoro.
Mi a'du ozi?,What do you sell?
Ma nyaka ozi azini imvu.,I sell food and pots.
'Ba azi eyi tutuni imvu je Ojapi-a.,Some people mostly buy pots in Ojapi.
A le mucele azini osu.,I want rice and beans.
Sa(w)a si?,What time is it?
Saa 10 (Mudri) 'dere!,Exactly 4 O'clock! [Time is told as the reverse number from the hour hand: 1 O'clock is Saa 7 (Aziri) while 2 O'clock is Saa 8 (Aro) and so forth]
Etu 10!,4 pm/ Sun(light) 10th hour!
Ife mani ovakedo azini alu!,Give me another one avocado!
'Di ndri ra!,This one is beautiful!
Aje ni si?,How much is it?
Silingi alifu iri!,2000 Shillings!
Aje esi ra!,The price has reduced!
Ife mani ala ni!,Give me a good one!
Mi mu ngoa?,Where are you going?
Ma mu Pajulu-a.,I'm going to Pajulu.
Afa mini apizu Arua si a'duni?,What do you like about Arua?
Asianzu azini agi eyi!,Peace and friends!
A le mu Kongo-a.,I want to go to Congo.
A le ma azi ra!,I love my job!
MUNGU ma aa mibe!,GOD be with you!
Ma nga mi ne dika!,I will see you again!
Ido mi ciri!,Peace be still!

[Check out <www.aikographics.blogspot.com> for the Extended Version of Aiko's Lugbara Dictionary]
My "mad" wish in 2001 (that is Senior 5 at Makerere College School in Kampala) was to see radio devices that transcribe speech to text (S2T) plus translate it. Speech recognition architecture from Google Meet to Twitter (X) Spaces to Open AI (and Microsoft) Whisper plus any others can do what I envisioned when fine-tuned. I jumpstarted my enculturation journey by researching my tribe's history in the mid 2000s and transcribing music lyrics plus translating documents before snapping to painstakingly create a one-page dictionary for the worldwide web on the 3rd Agofe's 90th birthday (Saturday 26th November 2016)...
